,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
197412,  -7.2362,  -5.5575,  -7.6673,  -3.2920,  -0.0288,  -2.6375
197501,  24.8048,  26.7424,  30.6945,  10.6122,  16.9335,  21.2771
197502,   6.6106,   3.1851,   3.7820,   8.1765,   2.7866,   2.1213
197503,   7.8014,   6.8907,   8.3282,   2.9335,   1.5737,   7.1633
197504,   6.4775,   3.1905,   3.1197,   5.7650,   2.1356,   6.8476
197505,  10.3329,   6.7922,   6.8819,   5.6927,   5.8711,   0.9427
197506,   7.0232,   7.4295,   6.4150,   4.2499,   6.3959,   7.6177
197507,  -2.9921,  -2.3783,  -2.5589,  -7.4851,  -4.0020,  -4.5331
197508,  -4.6391,  -4.2661,  -6.7043,  -2.1928,  -1.6518,  -2.0229
197509,  -4.0116,  -3.4173,  -3.4014,  -3.9917,  -2.7235,  -3.8172
197510,   1.3529,   3.5009,   1.9430,   6.5434,   5.8190,   6.5220
197511,   1.2210,   2.3795,   3.8098,   2.9993,   3.5505,   4.4750
197512,  -1.4989,  -0.3889,  -0.8743,  -1.7778,   0.3702,   0.9831
197601,  14.9242,  18.4667,  24.7673,  10.8840,  14.5428,  18.2942
197602,   6.6580,   7.2422,  12.4205,  -1.3254,   1.8115,   4.6546
197603,   1.3330,   1.4410,   1.8617,   2.9741,   2.9470,   2.2018
197604,  -1.0072,  -0.9816,  -1.3187,  -1.6210,   0.2753,  -1.6344
197605,  -0.8109,  -2.0504,  -3.6025,  -0.6358,  -1.5722,  -0.5715
197606,   3.9466,   3.7179,   3.8136,   4.3724,   5.1344,   5.9218
197607,  -1.1302,   0.6951,   0.7167,  -1.2322,   0.2503,   0.3881
197608,  -3.4817,  -1.3181,  -1.3246,  -0.3685,   1.1663,  -0.9139
197609,   3.5291,   2.4595,   2.2499,   2.2060,   3.2014,   2.8993
197610,  -2.6845,  -1.4952,  -2.0667,  -2.3694,  -1.1884,  -3.3552
197611,   3.6512,   3.1829,   3.9432,  -0.6832,   2.4594,   2.0466
197612,   9.6061,   9.4905,  10.1071,   4.7254,   6.6160,   8.7706
197701,   0.7210,   2.2504,   3.0991,  -6.3823,  -1.6145,  -0.2155
197702,  -1.0278,  -1.1012,   0.0031,  -1.8193,  -1.5114,  -1.9180
197703,   0.2648,   0.6752,   0.2314,  -1.7071,  -0.6237,   0.4974
197704,   1.1440,   1.2642,   2.4533,  -1.1247,   2.0353,   4.3186
197705,  -0.7265,   0.0597,   0.6382,  -1.9168,  -0.0710,  -1.5795
197706,   7.4918,   6.2148,   6.8343,   5.6656,   3.7481,   4.8443
197707,   0.0847,   0.0819,   0.5665,  -1.5588,  -1.0330,  -3.1550
197708,   0.6910,  -0.8612,  -1.5152,   0.2495,  -3.4331,  -2.9398
197709,   1.6105,   1.4854,   0.5531,  -0.7059,   1.0380,  -0.6902
197710,  -3.8335,  -2.2279,  -1.5761,  -4.4278,  -3.7881,  -3.1847
197711,   8.3539,   7.4641,   8.1150,   4.0768,   3.8351,   4.8404
197712,   3.1208,   1.4360,   1.5802,   0.1735,   0.8685,   1.1438
197801,  -4.6778,  -2.8798,  -1.1427,  -6.4466,  -5.6977,  -3.2682
197802,   1.6302,   2.5679,   2.4814,  -2.6288,   0.3508,  -1.8122
197803,   6.4492,   6.6431,   7.1277,   2.2355,   3.6135,   3.9137
197804,   9.9575,   7.5947,   7.2061,  11.0834,   5.5570,   6.7563
197805,   7.0761,   5.8074,   5.8959,   1.9154,   1.1175,   2.0615
197806,  -0.9738,   1.1110,   0.3601,  -1.3715,  -1.5437,  -1.5694
197807,   7.0202,   4.9532,   5.7853,   6.9962,   4.1397,   5.9214
197808,   8.2359,   8.2832,   8.7076,   3.5456,   4.4412,   2.0514
197809,  -1.8909,  -0.4368,  -0.6268,  -2.5719,   0.9730,  -0.0583
197810, -23.1152, -18.3500, -18.6611,  -9.8736,  -9.1170, -11.5666
197811,   8.8022,   4.8809,   4.3691,   2.8781,   3.2460,   3.0173
197812,   3.0807,   1.9491,   1.9966,   2.7949,   0.7342,  -0.3788
197901,   8.5569,   7.9100,   9.6098,   3.4154,   5.0718,   6.7362
197902,  -3.4551,  -2.2450,  -1.9317,  -3.6978,  -2.4034,  -2.8845
197903,  11.7090,   8.5220,   8.5269,   5.7619,   5.6959,   7.5245
197904,   1.6374,   2.8828,   3.3396,   0.1217,   0.6187,   0.6573
197905,  -2.6133,  -0.7133,  -0.4841,  -1.8140,  -1.2943,  -1.3239
197906,   5.7373,   5.9665,   6.0916,   3.1127,   5.5269,   5.6467
197907,   1.9209,   4.0163,   3.2380,   0.5951,   1.7378,   2.9998
197908,   9.0414,   7.4290,   7.3498,   6.8305,   5.4674,   5.3664
197909,   0.8031,  -1.0961,  -1.0925,  -0.8271,   0.9897,  -0.7272
197910,  -9.2505, -10.5658, -11.4064,  -6.7367,  -6.1019,  -8.2708
197911,  10.9906,   6.9676,   6.8114,   6.4630,   5.6336,   4.0643
197912,   8.2142,   5.1700,   5.1402,   3.0248,   1.1064,   1.8921
198001,   7.9452,   7.6548,   8.5051,   4.9399,   6.4312,   7.8701
198002,  -0.3848,  -2.9527,  -2.6726,  -3.0630,   2.1593,   0.4450
198003, -19.3301, -16.0471, -17.3817,  -9.0773, -10.7170, -13.0360
198004,   6.2330,   6.4439,   5.9533,   3.7499,   5.5976,   6.1397
198005,   8.0731,   7.9050,   8.0871,   5.7433,   5.4544,   6.4795
198006,   5.2048,   4.4065,   4.3282,   3.0507,   3.4963,   2.4152
198007,  13.2854,   9.5220,   7.0754,   9.3746,   5.3154,   2.7700
198008,   8.4868,   4.8835,   3.6359,   2.1162,   1.3643,   1.7611
198009,   5.2475,   2.9382,   1.0864,   4.0427,   3.2641,  -0.9699
198010,   5.8507,   2.3173,   3.0667,   1.8142,   2.9265,  -0.9246
198011,  12.6739,   4.3981,   2.6728,  11.5462,  13.3847,   4.8858
198012,  -5.3599,  -1.7816,  -1.2148,  -2.1695,  -4.6795,  -0.7354
198101,  -3.7690,   0.7707,   2.1140,  -5.9060,  -5.3719,   1.6425
198102,  -0.7145,   2.3287,   2.7761,   2.7916,   1.2764,   1.3483
198103,   7.6888,   7.9732,   7.6879,   3.9242,   3.6089,   5.2103
198104,   2.5198,   3.5780,   3.8073,  -2.2007,  -2.1678,   1.0691
198105,   4.9505,   2.9137,   1.6988,   0.8188,  -0.4910,   3.2259
